codequipo,solicitante,ubicacion,municipio,provincia,lat,lon,tipoInstalacion
2889,"Salvar Formar y Socorrer, S.L.",Praia do Cocho das Dornas (caseta Servicio Salvamento),VIGO,PONTEVEDRA,42.2178,-8.7763,En playa
2890,"Salvar Formar y Socorrer, S.L.",Praia de Tombo do Gato-La Fuente (caseta Servicio Salvamento),VIGO,PONTEVEDRA,42.2195,-8.7764,En playa
2891,"Salvar Formar y Socorrer, S.L.",Praia de Rodas - Illas Cíes (caseta Servicio Salvamento),VIGO,PONTEVEDRA,42.2262,-8.9016,En playa
2892,"Salvar Formar y Socorrer, S.L.",Praia de Samil (caseta Coordinación de Emerxencias),VIGO,PONTEVEDRA,42.2105,-8.7751,En playa
2893,CONCELLO DE LARACHA,Pabellón polideportivo CEIP Otero Pedrayo (cuarto de luces),LARACHA,A CORUÑA,43.2469,-8.5933,En instalaciones deportivas
2894,CONCELLO DE LARACHA,Pabellón CEIP Alfredo Brañas (vestuario arbitral),LARACHA,A CORUÑA,43.2506,-8.5553,En instalaciones deportivas
2895,CONCELLO DE LARACHA,Campo de fútbol A Nova Porta Santa - Paiosaco (pasillo vestuarios),LARACHA,A CORUÑA,43.2497,-8.5575,En instalaciones deportivas
2896,CONCELLO DE LARACHA,Polideportivo Instituto Agra de Leborís (entrada),LARACHA,A CORUÑA,43.2459,-8.5835,En instalaciones deportivas
2897,CONCELLO DE LARACHA,Campo de Fútbol Municipal de Laracha (pasillo vestuarios),LARACHA,A CORUÑA,43.2505,-8.5775,En instalaciones deportivas
2898,MetalShips&Docks,Metalships & Docks (Servicio Médico),VIGO,PONTEVEDRA,42.2584,-8.6884,En empresa privada
2899,Club Náutico San Vicente do Mar,Club Náutico San Vicente (puerta Capitanía del puerto),"GROVE, O",PONTEVEDRA,42.4580,-8.9199,Otros
2900,"Combarromar, S.A.",Marina Combarro - Puerto deportivo (en la entrada al edif. de capitanía),POIO,PONTEVEDRA,42.4292,-8.7038,En instalaciones deportivas
2901,"TELEVÉS, S.A.U.",Televés (Servicio de vigilancia),SANTIAGO,A CORUÑA,42.8615,-8.5581,En empresa privada
2902,Concello de neda,Centro Cívico Ramón Millarengo (planta baja-junto a escaleras),NEDA,A CORUÑA,43.4989,-8.1601,Administraciones o instituciones públicas
2903,Concello de neda,Colexio público de Maciñeira (junto a la puerta principal),NEDA,A CORUÑA,43.5027,-8.1288,En centros docentes
2904,CONCELLO DE LARACHA,Policía Local,LARACHA,A CORUÑA,43.2486,-8.5850,Administraciones o instituciones públicas
2905,OLIMPICO DE RUTIS CLUB DE FÚTBOL,Olímpico de Rutis F.C. (entrada vestuario arbitral),CULLEREDO,A CORUÑA,43.3119,-8.3787,En instalaciones deportivas
2906,Deputación Provincial de Lugo,Fundación TIC,LUGO,LUGO,43.0345,-7.5713,Administraciones o instituciones públicas
2907,"Aena SME, S.A.",Aeroporto da Coruña (AENA) 02,CULLEREDO,A CORUÑA,43.3020,-8.3811,En aeropuertos o estaciones
2908,"Aena SME, S.A.",Aeroporto da Coruña (AENA) 02 ZONA FACTURACIÓN,CULLEREDO,A CORUÑA,43.3022,-8.3813,En aeropuertos o estaciones
2909,Deputación Provincial de Lugo,Museo Fortaleza San Paio de Narla,FRIOL,LUGO,43.0024,-7.8205,Administraciones o instituciones públicas
2910,Deputación Provincial de Lugo,Centro de Atención a Maiores (CAM),POL,LUGO,43.1272,-7.3519,Administraciones o instituciones públicas
2911,Asociación La Esperanza del Valle Miñor,Centro de Educación Especial Juan María (despacho administración),NIGRAN,PONTEVEDRA,42.1242,-8.7877,Otros
2912,Deputación Provincial de Lugo,Arquivo Provincial,LUGO,LUGO,42.9885,-7.5362,Administraciones o instituciones públicas
2913,Concello de neda,Pabellón polideportivo San Isidro (pasillo pabellón-junto escaleras),NEDA,A CORUÑA,43.4981,-8.1543,En instalaciones deportivas
2914,Concello de neda,Pabellón polideportivo O Roxal (junto a la puerta principal),NEDA,A CORUÑA,43.4962,-8.1259,En instalaciones deportivas
2915,Deputación Provincial de Lugo,Centro de Atención a Maiores (CAM),"FONSAGRADA, A",LUGO,43.1246,-7.0690,Administraciones o instituciones públicas
2916,"Frigoríficos de Galicia, S.A. (Frigalsa)",Frigalsa (planta de descargas),VIGO,PONTEVEDRA,42.2594,-8.6850,En empresa privada
2917,"Frigoríficos de Galicia, S.A. (Frigalsa)",Frigalsa (porta acceso oficinas),VIGO,PONTEVEDRA,42.2269,-8.7380,En empresa privada
2918,Colegio Casa de la Virgen,Colegio Casa de la Virgen (entrada),CANGAS,PONTEVEDRA,42.2611,-8.7659,En centros docentes
2919,Deputación Provincial de Lugo,Centro de Atención a Maiores (CAM),TRABADA,LUGO,43.4499,-7.1955,Administraciones o instituciones públicas
2920,Deputación Provincial de Lugo,Centro de Atención a Maiores (CAM),RIBADEO,LUGO,43.5373,-7.0521,Administraciones o instituciones públicas
2921,"Redvital Salud, S.L.",Colegio Calasanz Padres Escolapios,"CORUÑA, A",A CORUÑA,43.3724,-8.4305,En centros docentes
2922,"Hermasa Canning Technology, S.A",Hermasa Canning Tecnology (planta baja - pasillo de acceso a la planta de producción),VIGO,PONTEVEDRA,42.1774,-8.7111,En empresa privada
2923,CPR Plurilingüe Martínez Otero,CPR Plurilingüe Martínez Otero (ximnasio),FOZ,LUGO,43.5697,-7.2575,En centros docentes
2924,Concello de Vilagarcía de Arousa,Recinto ferial Fexdega (acceso entrada principal),VILAGARCIA DE AROUSA,PONTEVEDRA,42.5902,-8.7638,Otros
2925,Concello de Vilagarcía de Arousa,Auditorio Municipal (junto a las escaleras),VILAGARCIA DE AROUSA,PONTEVEDRA,42.5980,-8.7666,Administraciones o instituciones públicas
2926,Concello de Alfoz,Concello de Alfoz (despacho Alcaldía),ALFOZ,LUGO,43.5283,-7.4144,Administraciones o instituciones públicas
2927,Concello de Vilagarcía de Arousa,Pabellón Polideportivo Fontecarmoa (junto al mesado del campo de juego),VILAGARCIA DE AROUSA,PONTEVEDRA,42.5844,-8.7724,En instalaciones deportivas
2928,Concello de Vilagarcía de Arousa,Campo de Fútbol Manuel Jiménez Abalo (Vestuarios),VILAGARCIA DE AROUSA,PONTEVEDRA,42.5836,-8.7724,En instalaciones deportivas
2929,Felipe Gómez Morgade,DOMICILIO PARTICULAR (se puede trasladar si es necesario),VIGO,PONTEVEDRA,42.2105,-8.7544,Otros
2933,Concello de Santiago,Servicio de Extinción de Incendios (dispositivo móvil),SANTIAGO,A CORUÑA,42.8867,-8.5332,Administraciones o instituciones públicas
2934,Francisco Manuel Mayo Balderrábano,Taxi - Estación de Autobuses,NOIA,A CORUÑA,42.7857,-8.8906,Otros
2935,IES Plurilingüe San Rosendo,IES Plurilingüe San Rosendo (planta baja-entrada),MONDOÑEDO,LUGO,43.4277,-7.3683,En centros docentes
2936,IES ALFOZ VALADOURO,IES Alfoz Valadouro (conserxería),ALFOZ,LUGO,43.5439,-7.4220,En centros docentes
2937,Residencia As Dores-Asociación para la Protección de los Ancianos de Lalín y su Comarca (APALC),Residencia As Dores (APALC) ubicado en despacho médico,LALIN,PONTEVEDRA,42.6627,-8.1100,Otros
2943,Residencia da Fundación ADCOR,Centro Residencial ADCOR (entrada principal),"CORUÑA, A",A CORUÑA,43.3733,-8.4376,Otros
2948,Centro de Atención a Persoas con Discapacidade de Sarria,CAPD de Sarria,SARRIA,LUGO,42.7816,-7.4177,Otros
2990,Residencia de Maiores de Monforte de Lemos,Residencia de Maiores de Monforte de Lemos (enfermería),MONFORTE,LUGO,42.5260,-7.5119,Otros
2991,CIFP A Carballeira - Marcos Valcarcel,CIPF A Carballeira-Marcos Valcarcel (entrada principal),OURENSE,OURENSE,42.3308,-7.8750,En centros docentes
